Process Arrival_Time Service_Time Priority
P357 1085 9 7
P358 1088 6 4
P359 1089 3 7
P360 1092 3 8
P361 1097 4 6
P362 1099 2 6
P363 1100 7 3
P364 1105 7 3
P365 1108 7 3
P366 1109 4 9
P367 1113 7 2
P368 1116 8 2
P369 1120 8 1
P370 1122 9 4
P371 1124 1 9
P372 1125 2 2
P373 1130 9 5
P374 1132 7 4
P375 1134 1 4
P376 1136 6 3
P377 1137 6 1
P378 1141 7 10
P379 1146 6 1
P380 1149 5 1
P381 1151 9 3
P382 1154 4 9
P383 1159 10 5
P384 1160 4 5
P385 1165 1 9
P386 1169 3 10
P387 1174 4 10
P388 1178 1 5
P389 1183 3 9
P390 1185 9 3
P391 1188 6 3
P392 1190 7 8
P393 1194 6 6
P394 1197 10 7
P395 1199 10 2
P396 1202 10 10
P397 1204 5 9
P398 1209 3 10
P399 1211 4 10
P400 1215 9 9
P401 1219 1 6
P402 1221 10 4
P403 1224 1 2
P404 1225 10 3
P405 1228 7 2
P406 1231 1 6
P407 1233 1 3
P408 1235 7 8
P409 1238 1 9
P410 1242 9 9
P411 1243 6 7
P412 1245 7 6
P413 1247 3 8
P414 1249 9 7
P415 1253 2 5
P416 1256 10 7
P417 1258 8 8
P418 1262 2 9
P419 1265 6 3
P420 1268 4 8
P421 1270 3 5
P422 1273 7 5
P423 1278 7 9
P424 1281 3 3
P425 1282 7 7
P426 1286 5 8
P427 1291 10 8
P428 1295 3 8
P429 1298 8 4
P430 1303 4 7
P431 1305 7 8
P432 1306 4 6
P433 1307 7 8
P434 1312 9 6
P435 1317 9 7
P436 1320 8 8
P437 1325 4 9
P438 1329 4 5
P439 1333 2 2
P440 1334 1 10
P441 1335 10 9
P442 1338 5 7
P443 1340 3 5
P444 1344 7 8
P445 1347 1 8
P446 1351 10 3
P447 1353 8 1
P448 1354 4 5
P449 1359 3 7
P450 1363 8 7
P451 1367 2 8
P452 1370 5 3
P453 1374 7 10
P454 1376 1 5
P455 1380 6 10
P456 1381 10 10
P457 1383 4 7
P458 1386 3 8
P459 1391 1 10
P460 1395 1 7
P461 1400 2 1
P462 1405 4 9
P463 1410 1 3
P464 1415 8 5
P465 1416 9 5
P466 1417 3 3
P467 1421 8 7
P468 1424 5 3
P469 1427 4 9
P470 1429 9 2
P471 1432 2 4
P472 1435 2 1
P473 1437 5 4
P474 1441 8 10
P475 1445 6 1
P476 1447 4 8
P477 1448 1 8
P478 1451 8 7
P479 1453 9 10
P480 1454 5 5
P481 1457 8 3
P482 1462 3 2
P483 1464 6 4
P484 1467 10 10
P485 1472 5 5
P486 1477 9 3
P487 1481 7 3
P488 1483 3 8
P489 1487 9 7
P490 1490 4 6
P491 1493 3 1
P492 1498 9 10
P493 1503 9 10
P494 1506 4 2
P495 1510 6 10
P496 1515 10 6
P497 1517 7 7
P498 1519 9 2
P499 1523 3 7
P500 1526 10 6
P501 1529 1 4
P502 1531 8 7
P503 1535 1 7
P504 1536 7 1
P505 1538 10 10
P506 1540 6 9
P507 1541 4 8
P508 1542 2 4
P509 1546 1 8
P510 1550 4 7
P511 1554 6 6
P512 1555 8 1
P513 1557 5 8
P514 1559 8 3
P515 1562 5 8
P516 1564 8 9
P517 1569 2 8
P518 1570 1 7
P519 1575 1 7
P520 1579 5 9
P521 1580 9 7
P522 1582 3 5
P523 1584 5 5
P524 1586 4 3
P525 1591 10 2
P526 1596 1 7
P527 1601 3 6
P528 1603 10 2
P529 1607 9 8
P530 1610 7 5
P531 1615 6 7
P532 1618 2 10
P533 1622 2 4
P534 1623 3 3
P535 1627 7 8
P536 1629 1 9
P537 1631 4 6
P538 1633 9 1
P539 1636 4 6
P540 1641 6 6
P541 1645 6 4
P542 1647 1 3
P543 1650 1 10
P544 1651 2 5
P545 1655 8 2
P546 1658 1 6
P547 1659 10 3
P548 1663 10 3
P549 1664 2 9
P550 1668 7 3
P551 1672 9 7
P552 1673 3 3
P553 1677 10 4
P554 1680 6 1
P555 1684 4 6
P556 1687 2 2
P557 1691 6 3
P558 1694 5 9
P559 1695 1 6
P560 1698 1 3
P561 1703 3 6
P562 1705 10 1
P563 1710 6 8
P564 1712 2 10
P565 1716 4 5
P566 1718 5 3
P567 1722 4 8
P568 1724 6 6
P569 1727 9 1
P570 1732 4 3
P571 1736 4 1
P572 1739 7 7
P573 1743 9 10
P574 1745 1 9
P575 1748 9 9
P576 1749 6 1
P577 1753 6 8
P578 1756 10 10
P579 1761 7 6
P580 1765 9 9
P581 1766 5 8
P582 1769 1 2
P583 1770 5 8
P584 1773 7 2
P585 1777 10 4
P586 1782 9 8
P587 1784 1 5
P588 1788 6 2
P589 1792 6 4
P590 1796 9 8
P591 1797 8 5
P592 1800 3 6
P593 1803 2 7
P594 1808 6 3
P595 1811 6 9
P596 1816 7 7
P597 1818 6 1
P598 1823 7 8
P599 1827 6 8
P600 1829 2 9
P601 1831 5 9
P602 1832 3 3
P603 1834 4 6
P604 1839 5 1
P605 1842 10 4
P606 1844 9 9
P607 1845 1 2
P608 1848 1 1
P609 1851 5 3
P610 1854 1 4
P611 1859 3 8
P612 1863 2 9
P613 1868 2 7
P614 1873 1 9
P615 1878 10 2
P616 1882 4 9
P617 1885 6 5
P618 1888 8 8
P619 1890 4 4
P620 1893 3 2
P621 1897 10 7
P622 1900 3 3
P623 1905 7 2
P624 1910 6 5
P625 1913 7 6
P626 1914 5 7
P627 1916 4 3
P628 1920 1 7
P629 1924 7 4
P630 1928 4 2
P631 1930 9 5
P632 1935 2 7
P633 1936 9 6
P634 1938 5 1
P635 1941 4 10
P636 1946 1 2
P637 1948 1 7
P638 1950 1 6
P639 1954 7 6
P640 1958 10 3
P641 1961 9 1
P642 1963 10 6
P643 1967 3 4
P644 1968 2 1
P645 1970 8 7
P646 1973 5 2
P647 1976 9 2
P648 1978 4 4
P649 1981 4 9
P650 1986 5 7
P651 1990 3 10
P652 1994 6 4
P653 1999 2 3
P654 2000 6 1
P655 2005 6 10
P656 2009 7 4
P657 2014 10 1
P658 2019 3 1
P659 2022 10 9
P660 2024 1 4
P661 2026 10 1
P662 2027 5 7
P663 2028 8 8
P664 2030 1 9
P665 2031 10 10
P666 2033 3 4
P667 2034 4 9
P668 2038 9 5
P669 2040 5 2
P670 2044 9 5
P671 2045 5 10
P672 2046 1 3
P673 2048 3 5
P674 2049 3 5
P675 2051 3 8
P676 2053 6 5
P677 2054 2 9
P678 2059 3 8
P679 2063 3 3
P680 2065 9 5
P681 2069 7 10
P682 2073 10 1
P683 2076 8 10
P684 2080 2 2
P685 2083 6 2
P686 2088 8 6
P687 2089 10 3
P688 2094 5 2
P689 2097 5 3
P690 2102 2 4
P691 2103 10 8
P692 2107 2 8
P693 2112 4 10
P694 2116 10 6
P695 2118 10 8
P696 2122 5 2
P697 2124 4 7
P698 2128 5 5
P699 2131 4 5
P700 2132 10 8
P701 2134 10 1
P702 2139 7 1
P703 2140 6 3
P704 2143 5 7
P705 2147 5 3
P706 2152 6 10
P707 2155 1 3
P708 2160 7 2
P709 2163 10 1
P710 2166 1 8
P711 2168 8 4
P712 2169 6 3
P713 2173 5 4
P714 2178 9 4
P715 2179 9 9
P716 2181 6 2
P717 2186 6 5
P718 2187 8 4
P719 2188 4 10
P720 2190 10 3
P721 2194 10 6
P722 2198 3 7
P723 2203 9 9
P724 2205 9 7
P725 2206 4 8
P726 2207 5 4
P727 2209 9 9
P728 2210 6 9
P729 2213 1 10
P730 2217 10 9
P731 2221 4 9
P732 2225 8 6
P733 2226 4 7
P734 2229 9 10
P735 2232 5 10
P736 2237 4 9
P737 2241 4 3
P738 2245 10 3
P739 2250 1 2
P740 2252 3 10
P741 2257 8 2
P742 2262 3 8
P743 2263 6 2
P744 2264 8 5
P745 2265 8 3
P746 2266 9 2
P747 2267 6 10
P748 2271 3 7
P749 2276 1 6
P750 2279 2 6
P751 2281 6 8
P752 2283 8 4
P753 2286 7 7
P754 2288 4 3
P755 2289 5 8
P756 2290 9 3
P757 2291 5 8
P758 2293 3 6
P759 2296 6 4
P760 2300 1 3
P761 2302 9 8
P762 2304 4 1
P763 2309 4 5
P764 2312 6 3
P765 2316 1 6
P766 2321 5 6
P767 2322 5 2
P768 2324 4 7
P769 2325 2 9
P770 2327 4 3
P771 2329 1 2
P772 2331 5 7
P773 2333 2 8
P774 2334 6 1
P775 2337 5 6
P776 2342 5 3
P777 2347 1 4
P778 2351 2 3
P779 2352 10 2
P780 2357 2 9
P781 2360 3 3
P782 2361 7 3
P783 2364 5 4
P784 2367 10 1
P785 2368 5 10
P786 2373 10 6
P787 2376 6 4
P788 2377 7 8
P789 2380 9 4
P790 2381 10 2
P791 2385 4 10
P792 2388 4 2
P793 2392 2 3
P794 2395 6 7
P795 2397 8 4
P796 2399 5 1
P797 2402 6 10
P798 2406 5 4
P799 2409 3 7
P800 2414 6 10
P801 2415 1 5
P802 2419 8 6
P803 2424 9 2
P804 2426 9 2
P805 2429 8 7
P806 2430 4 1
P807 2434 3 1
P808 2438 1 3
P809 2439 10 3
P810 2443 3 8
P811 2447 4 2
P812 2452 7 10
P813 2456 6 4
P814 2457 5 8
P815 2462 2 1
P816 2463 10 4
P817 2467 7 10
P818 2469 2 8
P819 2474 7 9
P820 2476 8 2
P821 2478 8 4
P822 2479 2 2
P823 2484 1 4
P824 2489 10 6
P825 2491 6 10
P826 2493 10 1
P827 2497 3 7
P828 2501 4 1
P829 2506 7 9
P830 2507 1 1
P831 2509 9 8
P832 2514 3 1
P833 2516 2 5
P834 2518 5 1
P835 2519 5 7
P836 2524 9 3
P837 2527 9 3
P838 2530 1 5
P839 2533 2 9
P840 2536 9 3
P841 2540 5 4
P842 2542 4 10
P843 2546 7 10
P844 2547 5 5
P845 2551 8 3
P846 2554 3 7
P847 2559 1 1
P848 2560 3 2
P849 2561 5 7
P850 2562 4 3
P851 2563 9 4
P852 2567 8 7
P853 2572 8 4
P854 2576 7 8
P855 2579 6 7
P856 2583 10 10
P857 2585 5 7
P858 2589 2 10
P859 2593 4 7
P860 2596 10 9
P861 2599 6 5
P862 2600 10 4
P863 2603 3 6
P864 2607 1 10
P865 2612 5 1
P866 2617 7 3
P867 2620 1 2
P868 2621 2 1
P869 2623 1 2
P870 2628 7 6
P871 2630 1 5
P872 2634 1 9
P873 2637 5 9
P874 2641 10 4
P875 2642 3 5
P876 2643 4 10
P877 2648 6 4
P878 2651 3 6
P879 2653 4 9
P880 2655 9 7
P881 2657 7 4
P882 2660 10 3
P883 2661 6 3
P884 2662 4 4
P885 2665 2 10
P886 2666 9 4
P887 2669 5 8
P888 2672 1 8
P889 2675 3 4
P890 2678 4 9
P891 2681 10 9
P892 2684 3 10
P893 2687 3 9
P894 2690 10 7
P895 2693 8 8
P896 2697 10 1
P897 2702 9 6
P898 2706 4 6
P899 2707 9 7
P900 2708 9 2
P901 2713 8 7
P902 2714 6 10
P903 2719 1 4
P904 2720 2 9
P905 2722 2 4
P906 2726 7 2
P907 2731 3 1
P908 2736 6 10
P909 2740 8 9
P910 2745 8 7
P911 2748 4 7
P912 2753 2 9
P913 2754 2 5
P914 2758 4 4
P915 2759 2 5
P916 2762 4 10
P917 2763 7 1
P918 2765 10 8
P919 2767 9 10
P920 2769 10 10
P921 2774 2 7
P922 2777 2 8
P923 2781 7 9
P924 2784 4 8
P925 2787 10 1
P926 2789 8 10
P927 2791 1 1
P928 2795 3 10
P929 2799 6 6
P930 2802 2 9
P931 2806 8 5
P932 2807 6 6
P933 2811 10 10
P934 2814 5 4
P935 2818 5 7
P936 2822 10 7
P937 2826 6 5
P938 2830 10 8
P939 2834 9 4
P940 2837 10 5
P941 2842 4 5
P942 2846 10 8
P943 2849 6 6
P944 2851 8 6
P945 2853 2 7
P946 2856 2 8
P947 2861 10 1
P948 2862 2 2
P949 2866 5 7
P950 2870 10 5
P951 2871 3 5
P952 2873 5 5
P953 2876 8 10
P954 2877 4 8
P955 2879 5 2
P956 2880 3 3
P957 2885 2 10
P958 2887 1 9
P959 2889 6 10
P960 2891 6 10
P961 2892 2 6
P962 2893 8 7
P963 2897 7 4
P964 2901 5 6
P965 2906 10 10
P966 2908 5 2
P967 2909 9 1
P968 2914 1 7
P969 2917 4 8
P970 2918 1 9
P971 2920 6 7
P972 2925 3 1
P973 2927 5 8
P974 2931 7 3
P975 2936 3 6
P976 2941 3 3
P977 2944 5 8
P978 2949 9 3
P979 2951 4 7
P980 2953 7 4
P981 2956 2 6
P982 2960 4 10
P983 2962 9 2
P984 2964 3 9
P985 2965 8 3
P986 2968 4 1
P987 2971 7 10
P988 2976 5 6
P989 2977 4 9
P990 2979 1 10
P991 2982 2 8
P992 2986 10 8
P993 2991 8 1
P994 2995 8 8
P995 2999 5 10
P996 3001 3 4
P997 3004 7 4
P998 3006 6 1
P999 3008 7 9
