Process Arrival_Time Service_Time Priority
P185 997 16 15
P186 1004 9 1
P187 1006 10 12
P188 1016 11 15
P189 1020 16 15
P190 1022 14 7
P191 1032 19 19
P192 1039 20 4
P193 1047 20 2
P194 1054 18 17
P195 1062 8 5
P196 1063 5 11
P197 1072 20 10
P198 1075 9 5
P199 1080 9 14
P200 1089 7 10
P201 1093 16 16
P202 1102 17 12
P203 1107 4 14
P204 1116 1 10
P205 1124 12 3
P206 1129 8 15
P207 1138 1 1
P208 1139 10 16
P209 1143 12 14
P210 1144 3 8
P211 1146 12 17
P212 1148 5 19
P213 1149 14 1
P214 1159 19 2
P215 1164 13 11
P216 1171 12 1
P217 1178 6 5
P218 1184 17 17
P219 1193 11 9
P220 1195 1 2
P221 1198 20 16
P222 1205 8 12
P223 1211 1 15
P224 1220 6 17
P225 1229 8 16
P226 1236 18 12
P227 1243 13 12
P228 1248 6 2
P229 1256 11 3
P230 1264 7 16
P231 1269 11 2
P232 1273 3 17
P233 1276 1 3
P234 1277 6 17
P235 1283 1 8
P236 1287 15 1
P237 1288 7 13
P238 1297 8 12
P239 1306 6 19
P240 1312 11 15
P241 1313 9 3
P242 1322 15 6
P243 1329 16 11
P244 1332 18 13
P245 1336 19 19
P246 1337 10 17
P247 1340 13 4
P248 1345 5 13
P249 1351 8 14
P250 1361 18 16
P251 1366 14 9
P252 1372 18 7
P253 1380 19 6
P254 1389 17 8
P255 1393 11 4
P256 1402 19 2
P257 1405 10 15
P258 1415 4 16
P259 1425 10 19
P260 1426 12 13
P261 1436 8 11
P262 1443 7 16
P263 1452 19 1
P264 1460 20 5
P265 1468 2 8
P266 1473 16 14
P267 1476 11 4
P268 1478 12 10
P269 1483 20 17
P270 1489 12 12
P271 1491 11 1
P272 1495 5 16
P273 1499 5 10
P274 1508 9 7
P275 1518 19 5
P276 1522 12 11
P277 1524 4 8
P278 1531 3 16
P279 1534 7 12
P280 1537 15 20
P281 1543 17 11
P282 1548 6 8
P283 1552 13 11
P284 1555 6 17
P285 1556 16 6
P286 1566 8 10
P287 1575 1 18
P288 1577 5 8
P289 1582 1 2
P290 1588 4 18
P291 1595 9 10
P292 1603 16 20
P293 1608 8 12
P294 1613 14 1
P295 1616 16 19
P296 1624 1 9
P297 1626 14 5
P298 1631 13 11
P299 1636 14 10
P300 1642 13 20
P301 1644 20 15
P302 1649 1 4
P303 1650 16 10
P304 1652 14 13
P305 1653 14 20
P306 1659 9 1
P307 1665 1 20
P308 1674 15 20
P309 1681 6 9
P310 1689 12 17
P311 1691 3 15
P312 1694 1 10
P313 1697 2 17
P314 1705 6 4
P315 1706 18 11
P316 1707 13 1
P317 1717 16 16
P318 1727 2 8
P319 1736 16 10
P320 1739 2 2
P321 1746 18 7
P322 1756 6 11
P323 1763 8 14
P324 1773 13 6
P325 1774 17 8
P326 1776 19 15
P327 1780 20 9
P328 1788 14 19
P329 1794 14 8
P330 1796 10 19
P331 1801 6 10
P332 1808 17 12
P333 1809 10 19
P334 1815 18 2
P335 1822 10 11
P336 1828 9 18
P337 1833 20 4
P338 1843 7 10
P339 1853 2 10
P340 1855 16 9
P341 1858 13 14
P342 1862 18 7
P343 1865 20 2
P344 1872 12 19
P345 1877 3 7
P346 1883 10 8
P347 1886 8 2
P348 1889 16 11
P349 1896 19 15
P350 1902 20 13
P351 1907 18 3
P352 1909 2 8
P353 1912 8 8
P354 1913 10 2
P355 1914 14 5
P356 1922 15 20
P357 1930 19 12
P358 1933 17 15
P359 1942 10 15
P360 1945 12 12
P361 1953 9 6
P362 1962 3 16
P363 1966 7 17
P364 1973 17 13
P365 1975 18 16
P366 1976 2 19
P367 1986 7 6
P368 1992 11 12
P369 1996 8 1
P370 2002 10 13
P371 2009 14 10
P372 2012 6 9
P373 2018 4 3
P374 2026 13 14
P375 2034 8 11
P376 2038 7 9
P377 2046 11 15
P378 2049 6 20
P379 2058 14 19
P380 2061 18 10
P381 2070 12 9
P382 2077 7 1
P383 2078 20 10
P384 2079 19 16
P385 2080 7 6
P386 2087 15 10
P387 2091 6 14
P388 2097 3 17
P389 2105 10 11
P390 2114 11 15
P391 2123 14 11
P392 2128 14 15
P393 2138 8 11
P394 2142 7 5
P395 2148 13 2
P396 2156 3 16
P397 2166 18 16
P398 2175 16 8
P399 2179 4 18
P400 2189 11 7
P401 2197 5 2
P402 2202 8 13
P403 2210 1 5
P404 2212 5 1
P405 2214 4 20
P406 2221 1 6
P407 2229 15 16
P408 2233 10 3
P409 2243 7 7
P410 2250 10 16
P411 2260 14 18
P412 2269 19 15
P413 2273 15 8
P414 2281 10 16
P415 2291 2 5
P416 2294 7 20
P417 2301 9 12
P418 2308 15 9
P419 2316 6 2
P420 2324 8 10
P421 2327 5 19
P422 2331 10 4
P423 2336 20 15
P424 2346 4 13
P425 2352 2 2
P426 2356 8 6
P427 2364 16 6
P428 2368 17 5
P429 2373 7 9
P430 2376 17 7
P431 2382 1 11
P432 2387 1 18
P433 2392 13 20
P434 2393 3 12
P435 2403 16 9
P436 2412 14 17
P437 2418 12 8
P438 2424 18 3
P439 2432 15 13
P440 2439 17 15
P441 2444 6 9
P442 2453 5 20
P443 2458 7 12
P444 2468 4 17
P445 2476 13 5
P446 2477 4 17
P447 2484 17 14
P448 2492 10 4
P449 2497 16 20
P450 2504 12 10
P451 2512 1 3
P452 2517 18 18
P453 2521 16 6
P454 2522 18 11
P455 2523 4 18
P456 2532 3 5
P457 2540 12 13
P458 2548 4 19
P459 2554 5 3
P460 2564 3 11
P461 2565 12 12
P462 2574 17 6
P463 2584 7 10
P464 2585 9 9
P465 2587 5 15
P466 2588 20 1
P467 2598 1 9
P468 2604 16 20
P469 2605 13 12
P470 2614 7 13
P471 2621 17 17
P472 2625 13 17
P473 2632 13 2
P474 2634 4 16
P475 2635 5 16
P476 2637 20 17
P477 2642 18 8
P478 2652 16 19
P479 2658 7 1
P480 2662 2 9
P481 2671 20 16
P482 2681 3 5
P483 2684 3 12
P484 2693 18 6
P485 2697 20 17
P486 2701 15 10
P487 2711 19 12
P488 2715 2 16
P489 2722 18 18
P490 2725 4 12
P491 2726 10 15
P492 2730 11 2
P493 2734 15 1
P494 2738 16 11
P495 2747 20 2
P496 2755 16 14
P497 2764 11 15
P498 2769 11 20
P499 2772 13 17
P500 2781 19 11
P501 2784 6 8
P502 2790 9 16
P503 2800 9 4
P504 2801 1 3
P505 2807 19 1
P506 2814 19 8
P507 2821 16 18
P508 2830 7 2
P509 2831 5 5
P510 2841 19 3
P511 2842 10 16
P512 2846 9 6
P513 2850 6 18
P514 2853 7 10
P515 2855 16 18
P516 2864 15 18
P517 2871 1 12
P518 2877 13 7
P519 2887 11 6
P520 2896 5 13
P521 2906 7 2
P522 2913 8 6
P523 2914 5 18
P524 2916 15 16
P525 2922 12 20
P526 2929 1 12
P527 2937 10 7
P528 2946 5 14
P529 2955 11 15
P530 2957 19 9
P531 2960 9 6
P532 2966 16 13
P533 2969 8 8
P534 2971 13 8
P535 2979 3 18
P536 2988 17 10
P537 2989 17 20
P538 2992 18 20
P539 2998 16 2
P540 3000 10 5
P541 3008 3 20
P542 3014 17 2
P543 3021 4 1
P544 3027 14 5
P545 3033 2 7
P546 3041 18 5
P547 3047 20 8
P548 3056 5 9
P549 3064 2 11
P550 3067 7 9
P551 3077 13 3
P552 3078 5 17
P553 3079 4 9
P554 3085 4 3
P555 3086 12 2
P556 3089 11 10
P557 3092 20 16
P558 3102 10 16
P559 3112 19 14
P560 3119 16 16
P561 3129 1 9
P562 3130 18 20
P563 3139 19 3
P564 3145 17 11
P565 3150 6 12
P566 3154 4 17
P567 3156 16 12
P568 3158 14 9
P569 3164 2 9
P570 3168 5 20
P571 3170 5 17
P572 3171 12 6
P573 3181 7 12
P574 3182 6 12
P575 3192 11 8
P576 3197 6 7
P577 3200 7 10
P578 3202 18 18
P579 3207 19 2
P580 3212 16 16
P581 3217 20 10
P582 3219 15 12
P583 3225 18 16
P584 3226 13 8
P585 3231 12 19
P586 3234 20 4
P587 3238 1 5
P588 3245 5 15
P589 3248 3 10
P590 3254 1 6
P591 3256 9 6
P592 3262 18 18
P593 3263 3 7
P594 3265 14 9
P595 3267 9 12
P596 3273 9 9
P597 3278 13 7
P598 3279 5 15
P599 3284 14 5
P600 3292 3 13
P601 3296 3 9
P602 3300 3 1
P603 3306 19 6
P604 3308 5 12
P605 3318 10 6
P606 3320 18 17
P607 3329 14 11
P608 3338 8 2
P609 3348 17 14
P610 3354 8 5
P611 3356 1 20
P612 3358 5 10
P613 3366 18 4
P614 3370 7 15
P615 3371 4 3
P616 3377 13 5
P617 3387 4 8
P618 3394 11 10
P619 3398 10 7
P620 3403 19 12
P621 3408 4 10
P622 3415 11 8
P623 3420 19 11
P624 3422 18 16
P625 3428 4 18
P626 3438 16 4
P627 3447 10 6
P628 3449 1 6
P629 3456 1 11
P630 3463 3 11
P631 3466 15 1
P632 3472 16 1
P633 3478 8 8
P634 3488 6 13
P635 3495 18 18
P636 3505 14 3
P637 3511 12 14
P638 3520 20 14
P639 3521 8 20
P640 3523 8 2
P641 3533 10 10
P642 3535 8 2
P643 3540 14 11
P644 3542 3 20
P645 3551 17 14
P646 3554 16 16
P647 3564 5 10
P648 3572 9 16
P649 3574 11 3
P650 3578 18 7
P651 3586 9 6
P652 3594 12 8
P653 3603 12 16
P654 3609 8 9
P655 3611 17 6
P656 3621 4 3
P657 3624 14 2
P658 3633 8 17
P659 3638 1 16
P660 3640 7 18
P661 3647 13 6
P662 3651 9 15
P663 3658 9 13
P664 3668 2 3
P665 3676 8 10
P666 3679 20 2
P667 3689 2 11
P668 3695 14 1
P669 3702 16 8
P670 3706 5 17
P671 3715 15 18
P672 3718 10 7
P673 3724 3 8
P674 3734 2 13
P675 3744 18 14
P676 3753 11 1
P677 3755 4 12
P678 3757 9 18
P679 3760 19 9
P680 3767 18 3
P681 3774 18 1
P682 3781 5 4
P683 3787 9 4
P684 3790 1 17
P685 3793 18 16
P686 3799 16 5
P687 3808 3 14
P688 3816 17 11
P689 3825 13 18
P690 3831 2 17
P691 3839 16 14
P692 3846 10 10
P693 3851 6 5
P694 3861 20 20
P695 3870 6 20
P696 3873 4 7
P697 3881 20 15
P698 3882 14 18
P699 3888 16 20
P700 3892 17 11
P701 3899 18 8
P702 3909 6 16
P703 3915 2 6
P704 3917 15 7
P705 3918 3 18
P706 3922 14 2
P707 3926 10 10
P708 3932 16 14
P709 3942 4 14
P710 3952 4 17
P711 3959 16 10
P712 3966 19 7
P713 3976 17 10
P714 3981 16 2
P715 3986 10 20
P716 3996 9 3
P717 4005 19 14
P718 4006 10 12
P719 4007 12 15
P720 4015 8 15
P721 4018 7 4
P722 4024 9 10
P723 4031 10 20
P724 4038 2 2
P725 4046 15 4
P726 4055 16 7
P727 4060 4 2
P728 4067 2 2
P729 4072 3 18
P730 4077 11 7
P731 4081 10 6
P732 4083 3 16
P733 4092 4 5
P734 4096 16 9
P735 4105 5 15
P736 4113 14 9
P737 4118 8 16
P738 4119 7 2
P739 4126 12 9
P740 4133 18 6
P741 4138 9 8
P742 4144 3 5
P743 4152 11 11
P744 4162 13 3
P745 4167 19 10
P746 4173 3 16
P747 4182 16 7
P748 4187 12 8
P749 4188 11 1
P750 4194 15 10
P751 4201 2 13
P752 4207 1 4
P753 4210 5 14
P754 4220 7 5
P755 4222 15 3
P756 4228 20 17
P757 4238 13 14
P758 4245 13 19
P759 4253 9 16
P760 4263 1 16
P761 4264 10 4
P762 4272 17 4
P763 4273 9 15
P764 4277 9 6
P765 4281 11 8
P766 4283 18 2
P767 4290 20 17
P768 4293 12 7
P769 4303 10 16
P770 4310 18 15
P771 4313 6 1
P772 4323 13 14
P773 4327 10 13
P774 4333 11 18
P775 4340 3 11
P776 4345 6 13
P777 4346 16 1
P778 4351 13 17
P779 4352 14 20
P780 4360 14 9
P781 4367 1 10
P782 4371 19 19
P783 4373 8 9
P784 4378 13 13
P785 4388 10 13
P786 4398 2 19
P787 4404 7 2
P788 4409 7 4
P789 4417 15 8
P790 4425 6 11
P791 4432 20 9
P792 4439 4 8
P793 4440 16 1
P794 4446 18 16
P795 4450 18 6
P796 4456 10 5
P797 4458 18 17
P798 4468 11 5
P799 4473 11 16
P800 4482 19 2
P801 4487 14 9
P802 4497 7 11
P803 4499 10 10
P804 4501 14 18
P805 4511 8 7
P806 4519 16 12
P807 4523 6 19
P808 4533 4 13
P809 4535 13 14
P810 4536 15 3
P811 4540 15 15
P812 4545 4 8
P813 4546 1 9
P814 4555 2 7
P815 4558 15 10
P816 4566 7 11
P817 4572 11 1
P818 4576 7 14
P819 4577 10 14
P820 4587 8 15
P821 4590 6 11
P822 4594 12 9
P823 4604 9 13
P824 4610 11 15
P825 4619 18 13
P826 4625 15 5
P827 4629 3 15
P828 4635 15 6
P829 4639 19 12
P830 4646 10 12
P831 4653 2 13
P832 4656 17 9
P833 4662 20 14
P834 4667 10 20
P835 4676 14 14
P836 4685 8 13
P837 4694 6 4
P838 4703 6 16
P839 4713 7 6
P840 4716 15 16
P841 4725 18 6
P842 4731 13 9
P843 4736 16 12
P844 4740 13 9
P845 4743 12 14
P846 4748 8 15
P847 4755 13 1
P848 4758 11 17
P849 4767 7 6
P850 4771 5 20
P851 4775 12 10
P852 4780 13 1
P853 4781 10 1
P854 4784 12 4
P855 4792 12 16
P856 4795 6 16
P857 4805 20 12
P858 4809 4 14
P859 4812 18 19
P860 4820 2 17
P861 4822 2 9
P862 4823 12 10
P863 4827 17 15
P864 4830 6 8
P865 4834 7 12
P866 4839 15 12
P867 4849 4 15
P868 4859 7 16
P869 4862 17 13
P870 4868 9 12
P871 4878 18 16
P872 4884 17 18
P873 4886 6 5
P874 4896 7 15
P875 4897 14 4
P876 4904 1 8
P877 4914 10 5
P878 4916 13 17
P879 4917 7 4
P880 4921 9 16
P881 4922 20 7
P882 4926 2 15
P883 4928 17 18
P884 4937 4 18
P885 4941 18 6
P886 4949 12 16
P887 4958 1 7
P888 4961 6 20
P889 4965 9 17
P890 4970 17 15
P891 4976 10 8
P892 4982 17 5
P893 4990 4 16
P894 4996 1 11
P895 4997 17 11
P896 4998 20 17
P897 5002 12 7
P898 5006 9 6
P899 5010 14 9
P900 5011 20 18
P901 5015 20 17
P902 5020 12 13
P903 5027 11 13
P904 5035 16 10
P905 5044 18 19
P906 5050 1 1
P907 5054 17 2
P908 5059 13 8
P909 5067 6 9
P910 5068 16 10
P911 5076 17 5
P912 5085 10 4
P913 5093 10 14
P914 5097 20 17
P915 5101 17 6
P916 5109 12 15
P917 5112 11 12
P918 5118 4 20
P919 5120 12 17
P920 5122 10 11
P921 5123 10 6
P922 5133 10 12
P923 5139 18 9
P924 5147 20 19
P925 5154 8 4
P926 5158 13 19
P927 5167 12 20
P928 5168 13 14
P929 5169 10 19
P930 5171 6 5
P931 5172 15 2
P932 5178 10 4
P933 5188 16 2
P934 5197 12 4
P935 5205 2 18
P936 5206 12 17
P937 5214 6 8
P938 5221 18 11
P939 5222 9 19
P940 5227 16 9
P941 5233 9 3
P942 5241 18 19
P943 5248 16 4
P944 5255 9 12
P945 5257 10 1
P946 5258 1 13
P947 5265 17 7
P948 5266 6 20
P949 5273 4 17
P950 5275 10 2
P951 5284 1 19
P952 5288 7 20
P953 5289 14 13
P954 5290 6 1
P955 5300 20 7
P956 5306 1 2
P957 5313 16 14
P958 5323 19 6
P959 5328 3 18
P960 5330 1 7
P961 5338 18 3
P962 5344 4 19
P963 5352 7 4
P964 5358 13 1
P965 5364 1 14
P966 5365 5 15
P967 5369 7 10
P968 5370 15 2
P969 5375 1 3
P970 5379 12 13
P971 5387 15 5
P972 5396 19 8
P973 5397 15 7
P974 5406 15 10
P975 5412 10 12
P976 5417 3 1
P977 5422 8 9
P978 5428 19 7
P979 5435 15 12
P980 5445 17 8
P981 5453 18 7
P982 5457 4 5
P983 5462 4 8
P984 5466 8 15
P985 5473 2 3
P986 5476 6 14
P987 5483 3 16
P988 5492 6 15
P989 5494 1 6
P990 5501 5 4
P991 5507 19 9
P992 5510 14 1
P993 5515 3 17
P994 5525 16 11
P995 5527 17 10
P996 5536 13 6
P997 5541 10 14
P998 5546 11 12
P999 5556 10 18
P1000 5558 19 2
P1001 5567 7 18
P1002 5569 17 7
P1003 5575 17 6
P1004 5584 8 9
P1005 5589 15 1
P1006 5592 3 5
P1007 5598 20 17
P1008 5606 19 14
P1009 5613 11 6
P1010 5621 2 15
P1011 5624 17 17
P1012 5625 17 16
P1013 5626 12 8
P1014 5630 16 14
P1015 5631 17 8
P1016 5635 9 1
P1017 5636 5 3
P1018 5645 14 19
P1019 5652 19 15
P1020 5660 15 1
P1021 5670 9 16
P1022 5680 13 13
P1023 5687 18 10
P1024 5695 2 7
P1025 5704 18 15
P1026 5710 18 17
P1027 5714 15 1
P1028 5716 11 19
P1029 5717 7 18
P1030 5723 2 10
P1031 5725 8 17
P1032 5733 15 12
P1033 5735 10 11
P1034 5738 2 9
P1035 5741 20 6
P1036 5749 9 11
P1037 5755 9 13
P1038 5760 13 7
P1039 5766 15 7
P1040 5773 13 4
P1041 5782 16 3
P1042 5787 4 1
P1043 5788 17 7
P1044 5791 19 3
P1045 5799 3 1
P1046 5802 16 19
P1047 5806 1 11
P1048 5815 2 18
P1049 5819 8 7
P1050 5828 6 12
P1051 5829 16 5
P1052 5838 2 9
P1053 5847 8 7
P1054 5848 8 13
P1055 5852 10 12
P1056 5855 16 3
P1057 5859 3 14
P1058 5861 5 1
P1059 5870 4 4
P1060 5871 3 3
P1061 5878 5 10
P1062 5885 9 20
P1063 5894 11 15
P1064 5902 8 5
P1065 5911 7 19
P1066 5920 2 7
P1067 5924 13 7
P1068 5928 13 11
P1069 5931 2 10
P1070 5932 19 15
P1071 5935 18 7
P1072 5936 17 18
P1073 5943 14 9
P1074 5949 15 9
P1075 5957 9 1
P1076 5965 2 14
P1077 5966 2 5
P1078 5972 17 13
P1079 5979 2 18
P1080 5982 20 13
P1081 5983 6 9
P1082 5992 18 10
P1083 5993 6 9
P1084 5999 1 3
P1085 6005 2 5
P1086 6013 6 20
P1087 6015 5 15
P1088 6020 17 18
P1089 6029 1 5
P1090 6038 6 3
P1091 6043 4 7
P1092 6051 3 15
P1093 6060 4 18
P1094 6062 13 20
P1095 6072 4 16
P1096 6081 1 9
P1097 6085 16 10
P1098 6092 7 18
P1099 6102 19 11
P1100 6111 17 12
P1101 6120 6 5
P1102 6127 7 3
P1103 6135 16 3
P1104 6136 4 13
P1105 6138 14 13
P1106 6143 13 7
P1107 6145 7 11
P1108 6151 10 16
P1109 6159 14 14
P1110 6163 6 12
P1111 6167 17 20
P1112 6169 2 11
P1113 6175 4 2
P1114 6178 13 19
P1115 6180 1 15
P1116 6190 16 2
P1117 6199 18 4
P1118 6201 6 7
P1119 6210 5 11
P1120 6216 4 10
P1121 6222 9 10
P1122 6227 10 7
P1123 6228 8 2
P1124 6230 13 6
P1125 6235 12 17
P1126 6243 6 17
P1127 6247 16 1
P1128 6257 14 15
P1129 6265 9 15
P1130 6273 19 16
P1131 6282 13 18
P1132 6288 12 3
P1133 6296 16 11
P1134 6304 2 18
P1135 6314 7 18
P1136 6322 9 17
P1137 6323 4 13
P1138 6331 8 19
P1139 6341 9 10
P1140 6349 15 6
P1141 6352 11 6
P1142 6359 5 13
P1143 6363 3 9
P1144 6366 16 12
P1145 6371 6 10
P1146 6374 12 4
P1147 6384 5 7
P1148 6387 17 18
P1149 6390 20 9
P1150 6392 6 4
P1151 6398 9 9
P1152 6400 9 11
P1153 6404 10 16
P1154 6409 15 1
P1155 6416 10 6
P1156 6417 16 17
P1157 6424 3 20
P1158 6426 8 19
P1159 6432 9 13
P1160 6435 15 20
P1161 6438 6 7
P1162 6446 15 15
P1163 6450 9 6
P1164 6453 14 11
P1165 6462 13 1
P1166 6465 12 20
P1167 6471 2 13
P1168 6478 4 1
P1169 6486 3 6
P1170 6487 1 5
P1171 6494 2 9
P1172 6496 2 12
P1173 6506 8 10
P1174 6508 12 6
P1175 6516 14 10
P1176 6522 19 10
P1177 6524 7 13
P1178 6533 16 18
P1179 6537 7 10
P1180 6538 2 5
P1181 6542 17 20
P1182 6544 12 20
P1183 6547 5 13
P1184 6555 12 9
P1185 6557 5 6
P1186 6563 5 5
P1187 6567 3 10
P1188 6570 20 7
P1189 6579 4 15
P1190 6583 7 10
P1191 6592 1 12
P1192 6602 13 7
P1193 6604 2 15
P1194 6608 19 17
P1195 6617 14 5
P1196 6623 4 17
P1197 6631 12 10
P1198 6638 5 17
P1199 6646 13 10
P1200 6654 14 5
P1201 6655 11 19
P1202 6656 7 5
P1203 6659 1 12
P1204 6667 10 17
P1205 6670 18 14
P1206 6672 16 16
P1207 6673 4 14
P1208 6681 18 16
P1209 6688 12 19
P1210 6689 18 3
P1211 6690 17 11
P1212 6700 14 20
P1213 6703 9 12
P1214 6712 1 12
P1215 6718 1 13
P1216 6724 10 18
P1217 6728 13 5
P1218 6733 10 12
P1219 6741 19 2
P1220 6750 18 13
P1221 6754 9 2
P1222 6760 2 14
P1223 6770 3 15
P1224 6780 19 13
P1225 6789 1 13
P1226 6796 7 16
P1227 6803 4 6
P1228 6809 1 13
P1229 6816 6 9
P1230 6819 12 5
P1231 6820 3 20
P1232 6823 2 7
P1233 6824 5 10
P1234 6834 16 16
P1235 6837 8 20
P1236 6840 8 10
P1237 6842 20 2
P1238 6849 1 4
P1239 6852 20 13
P1240 6855 17 12
P1241 6859 20 3
P1242 6864 17 1
P1243 6866 4 18
P1244 6869 10 14
P1245 6877 7 7
P1246 6883 9 10
P1247 6886 12 19
P1248 6892 18 1
P1249 6901 15 17
P1250 6905 12 4
P1251 6915 19 7
P1252 6920 17 10
P1253 6922 18 17
P1254 6931 15 15
P1255 6936 18 12
P1256 6937 2 17
P1257 6942 8 17
P1258 6947 19 2
P1259 6953 10 18
P1260 6956 5 2
P1261 6960 14 1
P1262 6963 10 20
P1263 6967 6 16
P1264 6970 4 16
P1265 6973 5 13
P1266 6983 6 16
P1267 6992 10 16
P1268 6998 14 18
P1269 7008 19 5
P1270 7011 11 9
P1271 7013 6 12
P1272 7022 9 11
P1273 7023 20 6
P1274 7032 16 15
P1275 7042 17 20
P1276 7045 12 1
P1277 7050 4 3
P1278 7053 12 8
P1279 7058 8 6
P1280 7063 5 8
P1281 7064 3 17
P1282 7067 13 11
P1283 7076 5 12
P1284 7081 14 15
P1285 7085 9 11
P1286 7089 20 17
P1287 7090 20 10
P1288 7095 1 20
P1289 7103 15 9
P1290 7106 2 17
P1291 7109 6 16
P1292 7119 8 9
P1293 7122 13 15
P1294 7129 15 6
P1295 7135 9 1
P1296 7145 16 15
P1297 7154 2 13
P1298 7158 2 19
P1299 7162 15 16
P1300 7169 18 14
P1301 7174 2 13
P1302 7181 17 2
P1303 7185 1 14
P1304 7190 5 12
P1305 7191 15 4
P1306 7198 10 20
P1307 7199 2 4
P1308 7205 7 9
P1309 7213 15 9
P1310 7218 5 9
P1311 7226 9 7
P1312 7229 17 20
P1313 7236 12 15
P1314 7238 7 7
P1315 7248 3 9
P1316 7256 19 16
P1317 7265 3 5
P1318 7271 2 20
P1319 7274 8 18
P1320 7283 8 13
P1321 7290 9 11
P1322 7298 18 8
P1323 7307 11 4
P1324 7316 19 1
P1325 7326 19 11
P1326 7328 19 19
P1327 7334 13 3
P1328 7344 11 18
P1329 7354 17 10
P1330 7359 20 3
P1331 7361 7 20
P1332 7369 8 5
P1333 7375 14 16
P1334 7385 9 13
P1335 7386 19 15
P1336 7387 9 8
P1337 7395 18 1
P1338 7398 12 10
P1339 7404 5 10
P1340 7414 12 19
P1341 7424 5 17
P1342 7425 1 20
P1343 7427 13 4
P1344 7437 13 4
P1345 7442 14 5
P1346 7443 10 10
P1347 7449 15 19
P1348 7451 14 4
P1349 7458 14 11
P1350 7462 5 16
P1351 7470 2 18
P1352 7471 19 18
P1353 7473 11 9
P1354 7477 5 6
P1355 7480 10 10
P1356 7482 9 15
P1357 7492 3 17
P1358 7501 6 11
P1359 7502 4 2
P1360 7508 8 17
P1361 7516 6 12
P1362 7519 20 2
P1363 7525 6 5
P1364 7533 6 20
P1365 7537 15 15
P1366 7545 9 9
P1367 7551 15 7
P1368 7552 5 2
P1369 7558 13 9
P1370 7567 6 12
P1371 7571 12 7
P1372 7572 1 3
P1373 7577 1 11
P1374 7582 16 19
P1375 7587 17 20
P1376 7594 2 20
